index,u_param,t_progress,x,y,width_eval,height_eval,theta_eval,theta_internal,offset_eval
0,0.000000,0.000000,0.000000,0.000000,190.000000,10.000000,0.000000,0.000000,0.000000
1,0.003906,0.003933,0.000000,1.074271,160.501489,10.000000,0.012356,0.012356,0.000000
2,0.007812,0.007866,0.000000,2.148542,131.002978,10.000000,0.024713,0.024713,0.000000
3,0.011719,0.011799,0.000000,3.222812,101.504467,10.000000,0.037069,0.037069,0.000000
4,0.015625,0.015733,0.000000,4.297083,72.005956,10.000000,0.049425,0.049425,0.000000
5,0.019531,0.019666,0.000000,5.371354,42.507444,10.000000,0.061782,0.061782,0.000000
6,0.023438,0.023599,0.000000,6.445625,40.000000,10.000000,0.074138,0.074138,0.000000
7,0.027344,0.027532,0.000000,7.519896,40.000000,10.000000,0.086494,0.086494,0.000000
8,0.031250,0.031465,0.000000,8.594166,40.000000,10.000000,0.098850,0.098850,0.000000
9,0.035156,0.035398,0.000000,9.668437,40.000000,10.000000,0.111207,0.111207,0.000000
10,0.039062,0.039331,0.000000,10.742708,40.000000,10.000000,0.123563,0.123563,0.000000
11,0.042969,0.043264,0.000000,11.816979,40.000000,10.000000,0.135919,0.135919,0.000000
12,0.046875,0.047198,0.000000,12.891250,40.000000,10.000000,0.148276,0.148276,0.000000
13,0.050781,0.051131,0.000000,13.965520,40.000000,10.000000,0.160632,0.160632,0.000000
14,0.054688,0.055064,0.000000,15.039791,40.000000,10.000000,0.172988,0.172988,0.000000
15,0.058594,0.058997,0.000000,16.114062,40.000000,10.000000,0.185345,0.185345,0.000000
16,0.062500,0.062930,0.000000,17.188333,40.000000,10.000000,0.197701,0.197701,0.000000
17,0.066406,0.066863,0.000000,18.262603,40.000000,10.000000,0.210057,0.210057,0.000000
18,0.070312,0.070796,0.000000,19.336874,40.000000,10.000000,0.222414,0.222414,0.000000
19,0.074219,0.074730,0.000000,20.411145,40.000000,10.000000,0.234770,0.234770,0.000000
20,0.078125,0.078663,0.000000,21.485416,40.000000,10.000000,0.247126,0.247126,0.000000
21,0.082031,0.082596,0.000000,22.559687,40.000000,10.000000,0.259482,0.259482,0.000000
22,0.085938,0.086529,0.000000,23.633957,40.000000,10.000000,0.271839,0.271839,0.000000
23,0.089844,0.090462,0.000000,24.708228,40.000000,10.000000,0.284195,0.284195,0.000000
24,0.093750,0.094395,0.000000,25.782499,40.000000,10.000000,0.296551,0.296551,0.000000
25,0.097656,0.098328,0.000000,26.856770,40.000000,10.000000,0.308908,0.308908,0.000000
26,0.101562,0.102262,0.000000,27.931041,40.000000,10.000000,0.321264,0.321264,0.000000
27,0.105469,0.106195,0.000000,29.005311,40.000000,10.000000,0.333620,0.333620,0.000000
28,0.109375,0.110128,0.000000,30.079582,40.000000,10.000000,0.345977,0.345977,0.000000
29,0.113281,0.114061,0.000000,31.153853,40.000000,10.000000,0.358333,0.358333,0.000000
30,0.117188,0.117994,0.000000,32.228124,40.000000,10.000000,0.370689,0.370689,0.000000
31,0.121094,0.121927,0.000000,33.302395,40.000000,10.000000,0.383046,0.383046,0.000000
32,0.125000,0.125860,0.000000,34.376665,40.000000,10.000000,0.395402,0.395402,0.000000
33,0.128906,0.129793,0.000000,35.450936,40.000000,10.000000,0.407758,0.407758,0.000000
34,0.132812,0.133727,0.000000,36.525207,40.000000,10.000000,0.420114,0.420114,0.000000
35,0.136719,0.137660,0.000000,37.599478,40.000000,10.000000,0.432471,0.432471,0.000000
36,0.140625,0.141593,0.000000,38.673749,40.000000,10.000000,0.444827,0.444827,0.000000
37,0.144531,0.145526,0.000000,39.748019,40.000000,10.000000,0.457183,0.457183,0.000000
38,0.148438,0.149459,0.000000,40.822290,40.000000,10.000000,0.469540,0.469540,0.000000
39,0.152344,0.153392,0.000000,41.896561,40.000000,10.000000,0.481896,0.481896,0.000000
40,0.156250,0.157325,0.000000,42.970832,40.000000,10.000000,0.494252,0.494252,0.000000
41,0.160156,0.161259,0.000000,44.045103,40.000000,10.000000,0.506609,0.506609,0.000000
42,0.164062,0.165192,0.000000,45.119373,40.000000,10.000000,0.518965,0.518965,0.000000
43,0.167969,0.169125,0.000000,46.193644,40.000000,10.000000,0.531321,0.531321,0.000000
44,0.171875,0.173058,0.000000,47.267915,40.000000,10.000000,0.543678,0.543678,0.000000
45,0.175781,0.176991,0.000000,48.342186,40.000000,10.000000,0.556034,0.556034,0.000000
46,0.179688,0.180924,0.000000,49.416457,40.000000,10.000000,0.568390,0.568390,0.000000
47,0.183594,0.184857,0.000000,50.490727,40.000000,10.000000,0.580746,0.580746,0.000000
48,0.187500,0.188790,0.000000,51.564998,40.000000,10.000000,0.593103,0.593103,0.000000
49,0.191406,0.192724,0.000000,52.639269,40.000000,10.000000,0.605459,0.605459,0.000000
50,0.195312,0.196657,0.000000,53.713540,40.000000,10.000000,0.617815,0.617815,0.000000
51,0.199219,0.200590,0.000000,54.787810,40.000000,10.000000,0.630172,0.630172,0.000000
52,0.203125,0.204523,0.000000,55.862081,40.000000,10.000000,0.642528,0.642528,0.000000
53,0.207031,0.208456,0.000000,56.936352,40.000000,10.000000,0.654884,0.654884,0.000000
54,0.210938,0.212389,0.000000,58.010623,40.000000,10.000000,0.667241,0.667241,0.000000
55,0.214844,0.216322,0.000000,59.084894,40.000000,10.000000,0.679597,0.679597,0.000000
56,0.218750,0.220256,0.000000,60.159164,40.000000,10.000000,0.691953,0.691953,0.000000
57,0.222656,0.224189,0.000000,61.233435,40.000000,10.000000,0.704310,0.704310,0.000000
58,0.226562,0.228122,0.000000,62.307706,40.000000,10.000000,0.716666,0.716666,0.000000
59,0.230469,0.232055,0.000000,63.381977,40.000000,10.000000,0.729022,0.729022,0.000000
60,0.234375,0.235988,0.000000,64.456248,40.000000,10.000000,0.741378,0.741378,0.000000
61,0.238281,0.239921,0.000000,65.530518,40.000000,10.000000,0.753735,0.753735,0.000000
62,0.242188,0.243854,0.000000,66.604789,40.000000,10.000000,0.766091,0.766091,0.000000
63,0.246094,0.247787,0.000000,67.679060,40.000000,10.000000,0.778447,0.778447,0.000000
