index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,offset_eval,alpha_eval
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,190.000000,6.000000,0.000000,0.000000,0.000000,0.000000
1,0.012171,0.005758,0.009462,0.009462,-0.000000,4.836748,119.036319,6.000000,0.000000,0.000000,0.000000,0.630788
2,0.014605,0.006910,0.011354,0.011354,0.000000,5.804106,104.843516,6.000000,0.000000,0.000000,0.000000,0.756947
3,0.021908,0.010364,0.017031,0.017031,0.000000,8.706212,62.264869,6.000000,0.000000,0.000000,0.000000,0.800000
4,0.024342,0.011516,0.018924,0.018924,0.000000,9.673594,48.071887,6.000000,0.000000,0.000000,0.000000,0.430501
5,0.052081,0.024640,0.040489,0.040489,0.000000,20.697981,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
6,0.079820,0.037765,0.062057,0.062057,0.000000,31.724524,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
7,0.107558,0.050892,0.083627,0.083627,0.000000,42.754373,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
8,0.135297,0.064022,0.105203,0.105203,-0.000000,53.788677,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
9,0.163036,0.077155,0.126784,0.126784,0.000000,64.828588,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
10,0.190774,0.090293,0.148373,0.148373,0.000000,75.875257,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
11,0.218513,0.103435,0.169969,0.169969,-0.000000,86.929840,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
12,0.246252,0.116583,0.191575,0.191575,0.000000,97.993492,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
13,0.273991,0.129738,0.213191,0.213191,0.000000,109.067372,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
14,0.301729,0.142900,0.234819,0.234819,0.000000,120.152643,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
15,0.329468,0.156070,0.256460,0.256460,0.000000,131.250467,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
16,0.357207,0.169248,0.278115,0.278115,0.000000,142.362013,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
17,0.384945,0.182435,0.299785,0.299785,-0.000000,153.488452,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
18,0.412684,0.195633,0.321472,0.321472,-0.000000,164.630959,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
19,0.440423,0.208841,0.343176,0.343176,0.000000,175.790714,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
20,0.468161,0.222061,0.364899,0.364899,0.000000,186.968899,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
21,0.495900,0.235292,0.386642,0.386642,0.000000,198.166704,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
22,0.523639,0.248537,0.408407,0.408407,0.000000,209.385323,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
23,0.551378,0.261796,0.430193,0.430193,0.000000,220.625953,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
24,0.579116,0.275068,0.452003,0.452003,0.000000,231.889801,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
25,0.606855,0.288356,0.473838,0.473838,0.000000,243.178078,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
26,0.634594,0.301659,0.495699,0.495699,-0.000000,254.492000,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
27,0.662332,0.314980,0.517587,0.517587,0.000000,265.832792,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
28,0.690071,0.328317,0.539504,0.539504,0.000000,277.201685,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
29,0.717810,0.341672,0.561450,0.561450,0.000000,288.599917,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
30,0.745549,0.355046,0.583426,0.583426,0.000000,300.028735,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
31,0.773287,0.368439,0.605434,0.605434,0.000000,311.489392,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
32,0.801026,0.381852,0.627476,0.627476,0.000000,322.983153,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
33,0.828765,0.395287,0.649551,0.649551,0.000000,334.511287,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
34,0.856503,0.408742,0.671662,0.671662,0.000000,346.075076,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
35,0.884242,0.422220,0.693810,0.693810,0.000000,357.675809,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
36,0.911981,0.435721,0.715995,0.715995,-0.000000,369.314787,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
